index,term,polarity,termFrom,termTo,context
1168,system,2,32,38,Screen is crystal clear and the system is very responsive.
1169,cursor,0,7,13,Or the cursor would show up some place else.
1170,software,1,54,62,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.
1171,operate,2,14,21,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.
1172,gadgets,1,67,74,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.
1173,Windows,0,34,41,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive."
1174,hard drive,0,89,99,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive."
1175,disk image,0,72,82,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive."
1176,track pad,2,4,13,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!"
1177,track pad,2,148,157,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!"
1178,disc drive,0,44,54,"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive."
1179,drive,0,167,172,"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive."
1180,drive,1,242,247,"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive."
1181,Appleworks,0,66,76,"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all."
1182,word processing program,0,32,55,"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all."
1183,size,1,62,66,I already have a HP laptop I bought last year that's standard size.
1184,Battery,0,0,7,Battery is not upgradable to a longer life battery.
1185,battery,0,43,50,Battery is not upgradable to a longer life battery.
1186,usage,2,54,59,apple has a reputation and is well known for its easy usage.
1187,speaker grill,0,91,104,Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.
1188,MacOSX,2,52,58,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core."
1189,Windows 7,2,121,130,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core."
1190,dual-core,1,89,98,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core."
1191,quad-core,1,138,147,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core."
1192,graphics,2,9,17,"Love the graphics, awesome programs (including Garageband), and really cool default background."
1193,programs,2,27,35,"Love the graphics, awesome programs (including Garageband), and really cool default background."
1194,default background,2,76,94,"Love the graphics, awesome programs (including Garageband), and really cool default background."
1195,Screen,1,0,6,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
1196,keyboard,1,8,16,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
1197,screen,2,113,119,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
1198,island backlit keyboard,2,132,155,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
1199,multi-touch mouse,2,165,182,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
1200,mouse,1,22,27,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
1201,Windows,1,59,66,The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!
1202,iWork,1,17,22,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office)."
1203,programs,1,47,55,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office)."
1204,Microsoft Office,1,121,137,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office)."
1205,word processing,1,60,75,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office)."
1206,spreadsheets,1,77,89,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office)."
1207,runs,2,52,56,"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC."
1208,warranty,1,93,101,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.
1209,monitor,2,5,12,Good monitor and performed well.
1210,performed,2,17,26,Good monitor and performed well.
1211,navigate,2,26,34,It was secure and easy to navigate.
1212,graphics cards,2,144,158,"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around."
1213,bluray player,1,18,31,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.
1214,book,0,36,40,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.
1215,systems,2,28,35,They are by far the easiest systems to actually learn about computers with.
1216,internet,1,58,66,this apple navigates you thru the unexplored world of the internet.
1217,gaming,2,57,63,"The video card is great for media, and above average for gaming, but not a gamers first choice."
1218,media,2,28,33,"The video card is great for media, and above average for gaming, but not a gamers first choice."
1219,3 year warranty,1,25,40,"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement."
1220,thermal paste,0,73,86,"Apparently there is a manufacturing defect, something with the amount of thermal paste."
1221,internals,0,95,104,Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.
1222,facial recognition,0,5,23,Asus facial recognition doesn't work and windows logon isn't either.
1223,Windows Vista,0,0,13,Windows Vista makes this computer almost unusable for online service.
1224,online service,0,54,68,Windows Vista makes this computer almost unusable for online service.
1225,recovery DVDs,2,45,58,"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you."
1226,webcam,1,49,55,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.
1227,carry,2,120,125,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.
1228,display,2,70,77,Can listen to my music and watch my videos with ease and with a great display.
1229,features,1,21,29,"Otherwise, all other features are a 1"
1230,performance,2,4,15,The performance is awesome.
1231,display,0,4,11,The display is beyond horrible.
1232,memory,0,20,26,There is hardly any memory on the computer's hard drive.
1233,hard drive,0,45,55,There is hardly any memory on the computer's hard drive.
1234,sound,0,68,73,"Actually, I had noticed the one on the sales floor also didn't have sound!"
1235,fans,1,23,27,"Next, most Acer laptop fans are on the bottom which is right on your laptop."
1236,preformed,2,11,20,the laptop preformed pretty well.
1237,system,1,98,104,I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.
1238,windows OS,0,48,58,I loved the netbook (minus the fact that it was windows OS) until this started happening.
1239,user interface,2,51,65,"The minute you fire it up it's all good, very easy user interface."
1240,warrenty,0,168,176,  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.
1241,iDVD,2,12,16,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be."
1242,program,2,20,27,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be."
1243,hard drive,1,20,30,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
1244,battery,0,35,42,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
1245,screen,2,23,29,"I love the easy to see screen, and It works well for work, persoal or just play."
1246,works,2,38,43,"I love the easy to see screen, and It works well for work, persoal or just play."
1247,word processing,1,66,81,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want."
1248,surfing,1,41,48,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want."
1249,mouse pad,0,4,13,the mouse pad and buttons are the worst i've ever seen.
1250,buttons,0,18,25,the mouse pad and buttons are the worst i've ever seen.
1251,graphics,2,8,16,Awesome graphics!
1252,play,2,34,38,It really is perfect for work and play.
1253,work,2,25,29,It really is perfect for work and play.
1254,edge,0,119,123,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists)."
1255,edges,0,129,134,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists)."
1256,sound quality via USB,0,27,48,One drawback I noticed was sound quality via USB.
1257,battery life,0,4,16,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased."
1258,warranty,0,132,140,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased."
1259,operating system,0,56,72,"I have had another Mac, but it got slow due to an older operating system."
1260,Windows XP drivers,0,48,66,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out."
1261,sound card,0,75,85,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out."
1262,Windows 7,2,121,130,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out."
1263,features,2,74,82,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need."
1264,budget,2,59,65,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need."
1265,motherboard,0,95,106,"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems."
1266,speakers,0,9,17,"Also the speakers are not very loud, But it is a netbook."
1267,PRICE,2,27,32,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!
1268,screen,0,13,19,Just a black screen!
1269,art aspect,2,44,54,A key contributor that led me to Mac is the art aspect.
1270,battery,0,14,21,"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on."
1271,surfing,2,90,97,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc."
1272,pre-loaded Norton Firewall/Security program,0,30,73,My first problem was with the pre-loaded Norton Firewall/Security program.
1273,USB connect,0,8,19,"I had a USB connect but, i can't use it because it is not compatible."
1274,hard drive,0,117,127,"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed."
1275,expense,0,97,104,"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers)."
1276,extended warranties,0,33,52,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.
1277,cost,0,60,64,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.
1278,software,2,20,28,"Not too much ""junk"" software to remove."
1279,performance,0,31,42,System is loosing about 20% of performance because of that.
1280,System,0,0,6,System is loosing about 20% of performance because of that.
1281,quality,2,24,31,"It is easy to use, good quality and good price."
1282,price,2,41,46,"It is easy to use, good quality and good price."
1283,use,2,14,17,"It is easy to use, good quality and good price."
1284,Apple keyboard,1,22,36,"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!"
1285,PC's keyboard,1,44,57,"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!"
1286,extended warranty,1,4,21,The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.
1287,RAM,1,75,78,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM."
1288,hard drive,0,6,16,"  The hard drive crashed as well, and I had to buy a new  power cord."
1289,power cord,0,58,68,"  The hard drive crashed as well, and I had to buy a new  power cord."
1290,battery,0,36,43,Another issue I have with it is the battery.
1291,power supply,1,58,70,"After 2 months of complaints, Asus finally sent the right power supply to my techies."
1292,techies,1,77,84,"After 2 months of complaints, Asus finally sent the right power supply to my techies."
1293,Sony Sonic Stage software,1,24,49,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1294,speakers,2,55,63,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1295,subwoofer,2,72,81,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1296,extended life battery,1,186,207,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1297,Docking port,1,216,228,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1298,bluetooth mouse,1,120,135,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1299,bluetooth enabled,0,154,171,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
1300,works,2,15,20,"My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter."
1301,Keynote,1,86,93,PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.
1302,Powerpoint program,1,17,35,PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.
1303,size,2,34,38,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room."
1304,size,2,147,151,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room."
1305,browser,1,78,85,"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works."
1306,carry,2,8,13,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets."
1307,keyboard,0,9,17,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.
1308,keyboard,0,229,237,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.
1309,programs,0,142,150,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues."
1310,drivers,0,155,162,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues."
1311,space,2,29,34,Love that it doesn't take up space like a regular computer.
1312,customer service rep,1,10,30,Asked the customer service rep.
1313,genius bar staff,0,58,74,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up."
1314,fan,1,102,105,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up."
1315,boot up,1,109,116,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up."
1316,Mouse Cable,0,16,27,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area."
1317,mouse,0,87,92,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area."
1318,RAM slots,1,3,12,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me."
1319,HDD Bays,1,16,24,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me."
1320,16GB RAM support,1,27,43,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me."
1321,Wireless,2,48,56,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me."
1322,ASUS TECH SUPPORT,0,39,56,I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.
1323,screen,0,92,98,"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display."
1324,screen,0,154,160,"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display."
1325,display,0,180,187,"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display."
1326,mouse on the pad,1,4,20,"the mouse on the pad, the left button always sticks."
1327,left button,0,26,37,"the mouse on the pad, the left button always sticks."
1328,batteries,0,38,47,  i have tried to charge on different batteries with no luck.
1329,battery life,2,84,96,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing."
1330,built in tools,1,11,25,"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone."
1331,iTunes,2,33,39,"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone."
1332,quality,2,5,12,True quality at a great price!
1333,price,2,24,29,True quality at a great price!
1334,carry,0,12,17,Not easy to carry.
1335,programs,2,4,12,The programs that come standard with the Leopard running system are enough for the average person to run all the basics.
1336,Leopard running system,1,41,63,The programs that come standard with the Leopard running system are enough for the average person to run all the basics.
1337,service center,0,107,121,"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center""."
1338,service,0,75,82,"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center""."
1339,Material,2,4,12,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.
1340,performs,2,92,100,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.
1341,price,2,61,66,"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5."
1342,photo booth,2,17,28,I am ADDICTED to photo booth!
1343,operating system,2,4,20,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing."
1344,user interface,2,25,39,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing."
1345,multi-touch track pad,2,73,94,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing."
1346,Hard disk,1,0,9,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.
1347,hard disk space,2,44,59,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.
1348,internal hard disk,1,126,144,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.
1349,windows,0,86,93,"First things first, Macbook pro has many applications to make life easier, unlike the windows computers."
1350,screen,2,8,14,And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.
1351,charge,0,68,74,  i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.
1352,power adapter,0,64,77,"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working."
1353,price,0,112,117,"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price."
1354,weight,1,26,32,"Of course, for a student, weight is always an issue."
1355,mainboard,0,4,13,"Now mainboard is broken, have to wait for a new one."
1356,speed,0,4,9,"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive."
1357,hard drive,1,59,69,"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive."
1358,500gb external hard drive,1,123,148,"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive."
1359,wireless card,0,6,19,2.The wireless card is low quality.
1360,operating systems,1,36,53,They also use two totally different operating systems.
1361,keys,1,29,33,They are about the same size keys.
1362,accessories,0,90,101,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory."
1363,warranty,2,20,28,"They offer the best warranty in the business, and don't 3rd party it out like Toshiba."
1364,sound,0,26,31,The only problems are the sound isnt very loud I have to wear headphones.
1365,windows,0,7,14,Again- windows based machines were not giving me anything to work with!
1366,system,1,100,106,"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it."
1367,size,2,11,15,i love the size of the computer since i play games on it.
1368,games,1,45,50,i love the size of the computer since i play games on it.
1369,playing games,1,85,98,"You know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos."
1370,equipment,0,35,44,To be honest i think it was faulty equipment or something but idk.
1371,size,2,34,38,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies."
1372,wt,2,30,32,"I love its solid build, light wt and excellent battery life (for now)."
1373,battery life,2,47,59,"I love its solid build, light wt and excellent battery life (for now)."
1374,quality,0,41,48,"while about 8 years ago, I hope that the quality has changed."
1375,Apple navigation,1,83,99,"The difference is it's a whole lot of fun using the laptop now, still learning the Apple navigation, but is fun and comes with a lot of cool apps."
1376,hard drives,1,36,47,-I propose that I can just swap the hard drives.
1377,battery,2,4,11,"The battery holds up well, it's built very solidly, and runs fast."
1378,built,2,32,37,"The battery holds up well, it's built very solidly, and runs fast."
1379,runs,2,56,60,"The battery holds up well, it's built very solidly, and runs fast."
1380,Sound card,0,0,10,Sound card is limited though.
1381,processing power,2,43,59,This is a nicely sized laptop with lots of processing power and long battery life.
1382,battery life,2,69,81,This is a nicely sized laptop with lots of processing power and long battery life.
1383,sized,2,17,22,This is a nicely sized laptop with lots of processing power and long battery life.
1384,Vista,0,79,84,  The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.
1385,desktop keyboard,1,67,83,"The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible."
1386,display,2,4,11,The display is awesome.
1387,warranty,0,71,79,It took several weeks just to get them to acknowledge that I owned the warranty.
1388,keyboard,1,37,45,The keyboard is like no other laptop keyboard.
1389,battery life,0,33,45,-Computer crashed frequently and battery life decreased very quickly.
1390,hard drives,1,39,50,-I propose that they can just swap the hard drives.
1391,drivers/applications DVD,2,20,44,Every driver on the drivers/applications DVD is everything you will need for a reload.
1392,repair depot,1,15,27,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.
1393,repair depot,1,99,111,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.
1394,Operating System,2,33,49,It's also fairly easy to use the Operating System.
1395,costing,0,57,64,We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.
1396,AC plug,0,14,21,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.
1397,price,2,27,32,Peformance is good for the price.
1398,shipping,0,64,72,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.
1399,BIOS,0,44,48,Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.
1400,ports,0,24,29,I had 3 months when the ports started going out.
1401,OS,2,24,26,"The improvements to the OS have been relatively gradual, but substantive."
1402,use,2,20,23,It is super easy to use.
1403,hard drives,0,32,43,Many of my classmates computers hard drives crashed.
1404,use,2,8,11,Ease of use is just one of the benefits I love about my Mac.
1405,MS Office,1,81,90,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out."
1406,shipping,2,57,65,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
1407,price,2,100,105,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
1408,budget,2,36,42,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
1409,power,2,10,15,The sheer power and flexibility makes the MacBook Pro a must have for any techie!
1410,flexibility,2,20,31,The sheer power and flexibility makes the MacBook Pro a must have for any techie!
1411,HDMI port,0,26,35,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.
1412,S-video port,0,42,54,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.
1413,speakers,0,4,12,The speakers on it are useless too.
1414,Battery,1,0,7,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.
1415,Iphoto,2,0,6,Iphoto is great for adding pictures right to facebook and other social networking sites.
1416,Senior Tech,0,263,274,"In early May I got it back and this time I only had it back for 1 day before it had a NEW issue so it was sent back in for the 6th time they ""expedited"" the repairs so I was only supposed to have to be without it for 3 days and it was supposed to be fixed, by a ""Senior Tech""."
1417,volume wheel,0,31,43,"Some features arent friendly ( volume wheel, sound quality, etc."
1418,sound quality,0,45,58,"Some features arent friendly ( volume wheel, sound quality, etc."
1419,features,0,5,13,"Some features arent friendly ( volume wheel, sound quality, etc."
1420,price,2,10,15,"A cheaper price should not equal a ""cheap"" product."
1421,manual,1,12,18,"I think the manual is somewhere on the hard drive, but I rather have a hard copy."
1422,hard drive,1,39,49,"I think the manual is somewhere on the hard drive, but I rather have a hard copy."
1423,software,1,76,84,Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!
1424,sensitivity,0,11,22,Adjust the sensitivity since it's not that responsive to begin with.
1425,battery,0,131,138,"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery."
1426,battery life,0,37,49,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly."
1427,case,0,68,72,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly."
1428,core applications,0,97,114,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly."
1429,system,0,4,10,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly."
1430,charge,0,21,27,  Later it held zero charge and its replacement worked for less than three months.
1431,cord,2,34,38,  The company sent me a whole new cord overnight and apologized.
1432,hook up to other wireless networks,2,18,52,It's even easy to hook up to other wireless networks.
1433,shift key,0,44,53,"  Also, I have had alot of trouble with the shift key to go to other lines."
1434,rep,0,4,7,"The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question."
1435,power,2,16,21,It gives me the power and speed that I need to run all the programs I use to edit.
1436,speed,2,26,31,It gives me the power and speed that I need to run all the programs I use to edit.
1437,programs,1,59,67,It gives me the power and speed that I need to run all the programs I use to edit.
1438,iLife,2,0,5,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.
1439,portability,2,58,69,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
1440,longevity,2,71,80,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
1441,use,2,94,97,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
1442,motherboard,1,45,56,  Again I sent it back and they replaced the motherboard and some fan inside.
1443,fan,1,66,69,  Again I sent it back and they replaced the motherboard and some fan inside.
1444,charged,2,6,13,"Fully charged, the MacBook Pro can last about five hours unplugged."
1445,price,1,59,64,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls."
1446,keys,0,8,12,"For me, keys were starting to get stuck and wouldn't type very well."
1447,standard os cd,0,21,35,can't reinstall with standard os cd because of proprietary hardware drivers.
